item_type,item_code,item_name_en,item_name_es,item_name_fr
FA,CLCN-002,"CORNICE: aluminium, 24mm shadow angle, powdercoat","CORNICE: aluminio, ángulo de sombra de 24 mm, pintura en polvo","CORNICHE : aluminium, angle d'ombre de 24 mm, revêtement poudré"
FA,CLCN-008,"CORNICE: square set flush between wall and ceiling, paint","CORNISA: encastre cuadrado a ras entre pared y techo, pintar","CORNICHE : équerre encastrée entre mur et plafond, peinture"
FA,CLCN-009,CORNICE: wall trim fixing,CORNICE: fijación de molduras de pared,CORNICHE : fixation de garniture murale
FA,CLFS-002,"CEILING: fibre cement, flush set, suspended, paint, washable","TECHO: fibrocemento, enrasado, suspendido, pintado, lavable","PLAFOND : fibrociment, encastré, suspendu, peinture, lavable"
FA,CLFS-005,"CEILING: plasterboard, flush set, suspended, paint, scrub resistant","TECHO: cartón yeso, enrasado, suspendido, pintado, resistente al frote","PLAFOND : plaques de plâtre, encastré, suspendu, peinture, résistant au gommage"
FA,CLFS-006,"CEILING: plasterboard, flush set, suspended, paint, washable","TECHO: cartón-yeso, empotrado, suspendido, pintado, lavable","PLAFOND : plaques de plâtre, encastré, suspendu, peinture, lavable"
FA,CLFS-009,"CEILING: plasterboard, water resistant, flush set, suspended, paint, washable","TECHO: cartón yeso, resistente al agua, empotrado, suspendido, pintado, lavable","PLAFOND : plaques de plâtre, résistant à l'eau, encastré, suspendu, peinture, lavable"
FA,CLGE-001,"CEILING: plasterboard, bulkhead, paint","TECHO: placas de yeso, mamparo, pintura","PLAFOND : plaques de plâtre, cloison, peinture"
FA,CLTI-001,"CEILING: acoustic, drop-in tiles",TECHO: Azulejos empotrables acústicos,"PLAFOND : acoustique, tuiles encastrables"
FA,CLTI-002,"CEILING: acoustic, drop-in tiles, 600 x 1200","TECHO: acústico, losetas empotradas, 600 x 1200","PLAFOND : acoustique, tuiles encastrées, 600 x 1200"
FA,CLTI-008,"CEILING: plasterboard, drop-in tiles, prefinished, 600 x 1200","TECHO: cartón yeso, baldosas de encastre, preacabado, 600 x 1200","PLAFOND : plaques de plâtre, tuiles à encastrer, préfini, 600 x 1200"
FA,CLTI-014,"CEILING: plasterboard, water resistant, drop-in tiles, prefinished, 600 x 1200","TECHO: placa de yeso, resistente al agua, baldosas empotradas, preacabado, 600 x 1200","PLAFOND : plaques de plâtre, résistantes à l'eau, tuiles à encastrer, préfinies, 600 x 1200"
FA,DWGE-001,"DOOR: 910mm c/o, single leaf, laminated, counter height","PUERTA: 910mm c / o, hoja simple, laminada, altura mostrador","PORTE : 910 mm c/o, un vantail, stratifié, hauteur de comptoir"
FA,DWGE-002,"DOOR: 910mm c/o, steel, strongroom, grille gate door, paint","PUERTA: 910 mm c / o, acero, cámara acorazada, puerta de rejilla, pintura","PORTE : 910 mm c/o, acier, chambre forte, porte de grille, peinture"
FA,DWGE-003,"DOOR: 910mm c/o, steel, strongroom, security door, paint","PUERTA: 910mm c / o, acero, cámara acorazada, puerta blindada, pintura","PORTE : 910 mm c/o, acier, chambre forte, porte blindée, peinture"
