room_code,room_name,item_type,item_code,item_name_en,item_name_es,item_name_fr,quantity
1BR-BA,1 Bed Room - Bariatric,FA,FLVY-007,FLOOR FINISH: vinyl; seamless; coved; standard slip resistant,ACABADO DEL PISO: vinilo; sin costuras; cóncavo; estándar antideslizante,FINITION DU SOL : vinyle; sans couture; à gorge; antidérapant standard,1
1BR-BA,1 Bed Room - Bariatric,FA,FLSK-010,SKIRTING: vinyl; floor vinyl coved; 150H; prefinished,RODAPIÉS: vinilo; suelo vinílico cóncavo; 150H; preacabado,PLINTHE : vinyle; revêtement de sol en vinyle; 150H; préfini,1
1BR-BA,1 Bed Room - Bariatric,FA,WLPR-001,WALL PROTECTION: bed protection wall panel,PROTECCIÓN DE PARED: panel de pared de protección de cama,PROTECTION MURALE : panneau mural de protection de lit,1
1BR-BA,1 Bed Room - Bariatric,FA,DWPR-010,DOOR PROTECTION: to door frame; PVC; prefinished,PROTECCIÓN DE LA PUERTA: al marco de la puerta; PVC; preacabado,PROTECTION DE LA PORTE : jusqu'au cadre de la porte; PVC; préfini,1
1BR-BA,1 Bed Room - Bariatric,FA,DWPR-005,DOOR PROTECTION: protection plate to 900 AFFL,PROTECCIÓN DE LA PUERTA: placa de protección hasta 900 AFFL,PROTECTION DE PORTE : plaque de protection à 900 AFFL,1
1BR-BA,1 Bed Room - Bariatric,FA,WLWA-004,WALL FINISH: paint; acrylic; washable,ACABADO DE PARED: pintura; acrílico; lavable,FINITION MURALE : peinture; acrylique; lavable,1
1BR-BA,1 Bed Room - Bariatric,FA,WLWA-010,WALL FINISH: splashback; vinyl,ACABADO DE PARED: salpicadero; vinilo,FINITION MURALE : crédence; vinyle,1
1BR-BA,1 Bed Room - Bariatric,FA,CLGE-001,CEILING: plasterboard; bulkhead; paint,TECHO: placas de yeso; mamparo; pintura,PLAFOND : plaques de plâtre; cloison; peinture,1
1BR-BA,1 Bed Room - Bariatric,FA,CLFS-006,CEILING: plasterboard; flush set; suspended; paint; washable,TECHO: cartón-yeso; empotrado; suspendido; pintado; lavable,PLAFOND : plaques de plâtre; encastré; suspendu; peinture; lavable,1
1BR-BA,1 Bed Room - Bariatric,FA,DWWH-005,WINDOW,VENTANA,LA FENÊTRE,1
1BR-BA,1 Bed Room - Bariatric,FA,DWOB-003,OBSERVATION: internal window; alum/glass; double glazed; integral venetian blind; powdercoat,OBSERVACIÓN: ventana interior; alumbre / vidrio; doble acristalamiento; persiana veneciana integral; pintura en polvo,OBSERVATION : fenêtre intérieure; alun/verre; double vitrage; store vénitien intégral; revêtement poudré,1
1BR-BA,1 Bed Room - Bariatric,FA,DWGL-076,DOOR: 1600mm c/o; 1 1/2 leaf; observation panel; solid core/glass; paint,PUERTA: 1600 mm c / o; 1 1/2 hoja; panel de observación; núcleo sólido / vidrio; pintura,PORTE : 1600 mm c/o; 1 1/2 vantail; panneau d'observation; âme pleine/verre; peinture,1
