from,to,area_en,area_es,area_fr,qty,m2,remarks_en,remarks_es,remarks_fr,room_en,room_es,room_fr
DIAL,WAIT-20,entry,entrada,entrée,1,20,"Area recommendation is indicative and will depend on the no. of people to be accommodated, opportunities to stagger appointment times and options for alternative approaches to waiting eg central hospital facilities/cafe.  A high BPROPortion of patients will have mobility aids and carers for support. 
1.2m2 recommended per seat, 1.5m2 per wheelchair space.  Smaller allocation for in-centre units given smaller number of outpatients.
Refer to optional reception area below.","La recomendación de zona es indicativa y dependerá del no. de personas que se alojarán, oportunidades para escalonar los horarios de las citas y opciones para enfoques alternativos a la espera, por ejemplo, instalaciones del hospital central / cafetería. Una proporción alta de BPRO de pacientes contará con ayudas para la movilidad y cuidadores de apoyo.
Se recomiendan 1,2m2 por asiento, 1,5m2 por espacio para silla de ruedas. Una asignación más pequeña para las unidades del centro con un número menor de pacientes ambulatorios.
Consulte el área de recepción opcional a continuación.","La recommandation de zone est indicative et dépendra du non. nombre de personnes à loger, possibilités d'échelonner les heures de rendez-vous et options d'approches alternatives à l'attente, par exemple les installations/cafés de l'hôpital central. Une proportion élevée de BPRO de patients bénéficiera d'aides à la mobilité et d'aidants pour le soutien.
1,2 m2 recommandé par siège, 1,5 m2 par emplacement pour fauteuil roulant. Attribution plus petite pour les unités en centre étant donné le plus petit nombre de patients ambulatoires.
Reportez-vous à la zone de réception optionnelle ci-dessous.","Waiting, 20m2","Espera, 20m2","Attente, 20m2"
DIAL,MEET-L-15,entry,entrada,entrée,1,18,"For family meetings, staff meetings, multidisciplinary meetings, community training and other functions. Videonferencing  required.","Para reuniones familiares, reuniones de personal, reuniones multidisciplinarias, capacitación comunitaria y otras funciones. Se requiere videoconferencia.","Pour les réunions de famille, les réunions du personnel, les réunions multidisciplinaires, la formation communautaire et d'autres fonctions. Vidéoconférence obligatoire.","Meeting Room, 15m2","Sala de reuniones, 15m2","Salle de réunion, 15m2"
DIAL,BHW,entry,entrada,entrée,1,2,Ensure design supports access from mobility aids eg scooters. Includes wheelchair scales.,"Asegúrese de que el diseño admita el acceso desde ayudas para la movilidad, por ejemplo, scooters. Incluye básculas para sillas de ruedas.","Assurez-vous que la conception prend en charge l'accès depuis les aides à la mobilité, par exemple les scooters. Comprend des balances pour fauteuil roulant.",Bay - Height/ Weight,Bahía - Altura/ Peso,Baie - Taille/ Poids
DIAL,BMEQ,entry,entrada,entrée,1,3,For storage of mobility aids and wheelchairs,Para el almacenamiento de ayudas para la movilidad y sillas de ruedas.,Pour ranger les aides à la mobilité et les fauteuils roulants,Bay - Mobile Equipment,Bahía - Equipo móvil,Baie - Équipement mobile
DIAL,WCPU,entry,entrada,entrée,2,3,Directly access from the waiting room. Door location should not permit a view into the toilet,Acceso directo desde la sala de espera. La ubicación de la puerta no debe permitir una vista hacia el inodoro,Accès direct depuis la salle d'attente. L'emplacement de la porte ne doit pas permettre une vue sur les toilettes,Toilet - Public ,Aseo - Público,Toilettes publiques
DIAL,CIR,entry,entrada,entrée,0.32,,,yaya,,Discount circulation,Descuento en la circulación,Circulation à prix réduit
DIAL,RECL-10,entry,entrada,entrée,1,8 (o),Optional. Inclusion will be dependent on size of unit and resourcing. Design to ensure staff safety.,Opcional. La inclusión dependerá del tamaño de la unidad y los recursos. Diseño para garantizar la seguridad del personal.,Optionnel. L'inclusion dépendra de la taille de l'unité et des ressources. Conception pour assurer la sécurité du personnel.,"Reception/ Clerical, 10m2","Recepción/Administración, 10m2","Réception/Commis, 10m2"
DIAL,STPS-8,entry,entrada,entrée,1,4 (o),"Adjacent to the reception/clerical area to hold printers, stationery etc.","Adyacente al área de recepción / oficina para guardar impresoras, material de oficina, etc.","Adjacent à la réception/zone de bureau pour contenir des imprimantes, de la papeterie, etc.","Store - Photocopy/ Stationery, 8m2","Tienda - Fotocopias / Papelería, 8m2","Magasin - Photocopie/papeterie, 8m2"
DIAL,CONS,entry,entrada,entrée,1,12 (o),Optional. May be provided through collocated outpatient clinics. ,Opcional. Puede proporcionarse a través de clínicas ambulatorias ubicadas.,Optionnel. Peut être fourni par des cliniques externes colocalisées.,Consult Room,Sala de consulta,Salle de consultation
DIAL,INTF-MH,entry,entrada,entrée,1,12 (o),"Optional, depending on service need and potential to share with adjacent services.","Opcional, según la necesidad del servicio y el potencial para compartir con los servicios adyacentes.","Facultatif, selon le besoin de service et le potentiel de partage avec les services adjacents.",Interview Room - Mental Health,Sala de entrevistas - Salud mental,Salle d'entretien - Santé mentale
DIAL,TRMT,entry,entrada,entrée,1,14 (o),"Optional, dependent on access to adjacent treatment / procedure room in outpatient or inpatient services and provision of training. Where there is a developed program of training as approved in the Clinical Services Plan dedicated training space/s will be required. Locate to enable flexible use for treatment during peaks in demand.","Opcional, depende del acceso a la sala de tratamiento / procedimiento adyacente en servicios para pacientes ambulatorios o hospitalizados y la provisión de capacitación. Cuando exista un programa de capacitación desarrollado según lo aprobado en el Plan de Servicios Clínicos, se requerirán espacios de capacitación dedicados. Ubique para permitir un uso flexible para el tratamiento durante los picos de demanda.","Facultatif, en fonction de l'accès à la salle de traitement/d'intervention adjacente dans les services ambulatoires ou hospitaliers et de la fourniture d'une formation. Lorsqu'il existe un programme de formation développé tel qu'approuvé dans le plan de services cliniques, des espaces de formation dédiés seront requis. Localisez pour permettre une utilisation flexible pour le traitement pendant les pics de demande.",Treatment Room,Sala de tratamiento,Salle de traitement
DIAL,OFF-SWS,entry,entrada,entrée,,"4.4 (o)
",Optional. Requirement will depend on staffing profile and provision of training services.  Refer to local jurisdictional policies regarding staff work area allocations. Staff offices / workstations also included under staff areas below.,Opcional. Los requisitos dependerán del perfil del personal y de la prestación de servicios de formación. Consulte las políticas jurisdiccionales locales con respecto a las asignaciones del área de trabajo del personal. Las oficinas / estaciones de trabajo del personal también se incluyen en las áreas de personal a continuación.,Optionnel. Les besoins dépendront du profil du personnel et de la prestation de services de formation. Se référer aux politiques juridictionnelles locales concernant l'affectation des zones de travail du personnel. Les bureaux/postes de travail du personnel sont également inclus dans les zones réservées au personnel ci-dessous.,"Office - Shared Workstation, 2.2m2","Oficina - Puesto de trabajo compartido, 2,2m2","Bureau - Poste de travail partagé, 2,2m2"
DIAL,WCAC,entry,entrada,entrée,1,6 (o),"Optional, may be located with adjacent service. Directly access from the waiting room. Door location should not permit a view into the toilet.","Opcional, puede ubicarse con un servicio adyacente. Acceso directo desde la sala de espera. La ubicación de la puerta no debe permitir una vista al inodoro.","En option, peut être situé avec un service adjacent. Accès direct depuis la salle d'attente. L'emplacement de la porte ne doit pas permettre une vue sur les toilettes.",Toilet - Accessible,Aseo - Accesible,Toilette - Accessible
