proyecto,unidad,unidad_es,sub-unidad,sub_unidad_es,area,room,room_es,room_qty,room_sup,tipoA,tipoB,item,item_es,item_qty
base,DIAL,Dialisis,general,general,entrada,WAIT-20,,1,20,FA,FL,FLCP-006,ACABADO DEL PISO: moqueta losetas de moqueta lana / nailon 90/10,1
base,DIAL,Dialisis,general,general,entrada,WAIT-20,,1,20,FA,FL,FLSK-009,ZÓCALO: vinilo borde de pluma 150H preacabado,1
base,DIAL,Dialisis,general,general,entrada,WAIT-20,,1,20,FA,WL,WLPR-011,PROTECCIÓN DE PAREDES: cantoneras hasta 900 AFFL min.,1
base,DIAL,Dialisis,general,general,entrada,WAIT-20,,1,20,FA,WL,WLWA-004,ACABADO DE PARED: pintura acrílico lavable,1
base,DIAL,Dialisis,general,general,entrada,WAIT-20,,1,20,FA,CL,CLTI-002,TECHO: acústico losetas empotradas 600 x 1200,1
base,DIAL,Dialisis,general,general,entrada,WAIT-20,,1,20,FA,CL,CLCN-002,CORNICE: aluminio ángulo de sombra de 24 mm pintura en polvo,1
base,DIAL,Dialisis,general,general,entrada,WAIT-20,,1,20,FA,DW,DWWH-005,VENTANA,1
base,DIAL,Dialisis,general,general,entrada,WAIT-20,,1,20,FFE,FQ,FQBS-032,SILLA: esperando,15
base,DIAL,Dialisis,general,general,entrada,WAIT-20,,1,20,FFE,FI,FIDI-001,DISPENSADOR: desinfectante de manos a base de alcohol,1
base,DIAL,Dialisis,general,general,entrada,WAIT-20,,1,20,FFE,DW,DWWD-013,REVESTIMIENTO DE VENTANAS: ventana exterior,1
base,DIAL,Dialisis,general,general,entrada,WAIT-20,,1,20,FFE,FI,FIHR-006,SOPORTE: para pantalla de visualización montado en la pared,1
base,DIAL,Dialisis,general,general,entrada,WAIT-20,,1,20,FFE,FI,FIHR-045,RACK: revista/folleto,1
base,DIAL,Dialisis,general,general,entrada,WAIT-20,,1,20,FFE,FI,FIBM-013,TABLERO DE ANUNCIOS: fijo cubierto de tela,1
base,DIAL,Dialisis,general,general,entrada,WAIT-20,,1,20,FFE,IT,ITBU-011,PANTALLA DE VISUALIZACIÓN: MATV,1
base,DIAL,Dialisis,general,general,entrada,WAIT-20,,1,20,FFE,FQ,FQTA-075,MESA: cuadrada 600W baja altura,3
base,DIAL,Dialisis,general,general,entrada,WAIT-20,,1,20,SE,IT,ITIN-070,SALIDA: MATV,1
base,DIAL,Dialisis,general,general,entrada,WAIT-20,,1,20,SE,EL,ELGP-109,GPO: individual montado en la pared,1
